year,ac_no,ac_name,district,turnout_pct,winner_candidate,winner_party,winner_votes,winner_pct,runnerup_candidate,runnerup_party,runnerup_votes,runnerup_pct,margin_votes
2022,1,Behat,Saharanpur,75.58,Umar Ali Khan,SP,134513.0,47.81,Naresh Saini,BJP,96633.0,34.34,37880.0
2022,2,Nakur,Saharanpur,76.1,Mukesh Choudhary,BJP,104114.0,38.47,Dharam Singh Saini,SP,103799.0,38.35,315.0
2022,3,Saharanpur Nagar,Saharanpur,66.08,Rajiv Gumber,BJP,143195.0,48.85,Sanjay Garg,SP,135761.0,46.32,7434.0
2022,4,Saharanpur,Saharanpur,72.27,Ashu Malik,SP,107007.0,41.18,Jagpal Singh,BJP,76262.0,29.35,30745.0
2022,5,Deoband,Saharanpur,69.1,Th. Brijesh Singh,BJP,93890.0,38.77,Kartikeya Rana,SP,86786.0,35.83,7104.0
2022,6,Rampur Maniharan (SC),Saharanpur,71.71,Devendra Kumar Nim,BJP,89109.0,38.37,Ravinder Kumar Molhu,BSP,68516.0,29.5,20593.0
2022,7,Gangoh,Saharanpur,70.07,Kirat Singh,BJP,116582.0,43.08,Inder Sain,SP,93133.0,34.42,23449.0
2022,8,Kairana,Shamli,75.04,Nahid Hasan,SP,131035.0,54.16,Mriganka Singh,BJP,105148.0,43.46,25887.0
2022,9,Thana Bhawan,Shamli,66.87,Ashraf Ali Khan,RLD,103751.0,47.47,Suresh Rana,BJP,92945.0,42.53,10806.0
2022,10,Shamli,Shamli,67.62,Persann Kumar Chaudhary,RLD,103070.0,48.86,Tejendra Nirwal,BJP,95963.0,45.49,7107.0
2022,11,Budhana,Muzaffarnagar,67.09,Rajpal Singh Baliyan,RLD,131093.0,51.28,Umesh Malik,BJP,102783.0,40.21,28310.0
2022,12,Charthawal,Muzaffarnagar,67.68,Pankaj Kumar Malik,SP,97363.0,43.82,Sapna Kashyap,BJP,92029.0,41.42,5334.0
2022,13,Purqazi (SC),Muzaffarnagar,65.85,Anil Kumar,RLD,92672.0,43.09,Pramod Utwal,BJP,86140.0,40.05,6532.0
